Data;433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal;3696 - Taxa de câmbio - Livre - Dólar americano (venda) - Fim de período - mensal - u.m.c./US$;4390 - Taxa de juros - Selic acumulada no mês - % a.m.;Índice Geral de Preços - IGP-M(200045);IGP-M - Fechamento mensal (%)(1000367);INCC-M - Fechamento mensal (%)(1000370);IPA-M - Fechamento mensal (% mês)  (1478707);IPAEP-M Ipa - todos os itens - Nro. Índice(1473921);IPC/BR-M - Fechamento Mensal - % (POF 2017/2018). Vigência a partir de 01/2020(1448925)
09/2004;0.33;2.8586;1.25;324.651;0.69;0.67;0.9;358.427;0.15
10/2004;0.44;2.8565;1.21;325.925;0.39;0.95;0.44;360.011;0.05
11/2004;0.69;2.7307;1.25;328.588;0.82;0.94;0.99;363.584;0.3
12/2004;0.86;2.6544;1.48;331.005;0.74;0.61;0.81;366.533;0.58
01/2005;0.58;2.6248;1.38;332.298;0.39;0.7;0.2;367.257;0.8
02/2005;0.59;2.595;1.22;333.288;0.3;0.42;0.2;368.001;0.51
03/2005;0.61;2.6662;1.53;336.123;0.85;0.71;0.94;371.46;0.66
04/2005;0.87;2.5313;1.41;339.03;0.86;0.38;0.96;375.009;0.8
05/2005;0.49;2.4038;1.5;338.299;-0.22;0.54;-0.77;372.106;1.02
06/2005;-0.02;2.3504;1.59;336.801;-0.44;2.2;-1.0;368.376;0.05
07/2005;0.25;2.3905;1.51;335.663;-0.34;0.65;-0.65;365.968;0.12
08/2005;0.17;2.3637;1.66;333.474;-0.65;0.05;-0.88;362.739;-0.32
09/2005;0.35;2.2222;1.5;331.69;-0.53;0.06;-0.76;359.967;-0.17
10/2005;0.75;2.2543;1.41;333.694;0.6;0.28;0.72;362.566;0.42
11/2005;0.55;2.207;1.38;335.033;0.4;0.29;0.4;364.002;0.46
12/2005;0.36;2.3407;1.47;335.006;-0.01;0.38;-0.27;363.028;0.52
01/2006;0.59;2.216;1.43;338.083;0.92;0.24;1.1;367.039;0.7
02/2006;0.41;2.1355;1.15;338.128;0.01;0.28;-0.06;366.804;0.11
03/2006;0.43;2.1724;1.42;337.339;-0.23;0.23;-0.48;365.058;0.22
